ConsumerReportCount,_c3,_c16,_c17
2988,1,BOS,IAH
6431,1,PDX,LAX
1166,1,STL,AUS
13805,1,DCA,BOS
1755,1,MIA,BWI
2659,1,SLC,BZN
1262,1,SYR,CVG
4520,1,AMA,DAL
237,1,COS,LAS
635,1,SFO,LIH
127,1,DFW,HRL
1439,1,DFW,GSP
2325,1,FNT,ATL
273,1,FAT,VIS
1,1,GSP,MLB
353,1,CVG,BGM
119,1,BHM,CLE
415,1,MSN,DEN
346,1,DEN,IDA
51,1,BRW,SCC
59,1,OAK,BWI
77,1,OKC,AUS
51,1,DEN,JAX
2,1,JFK,BGM
1,1,LAN,CRW
1139,1,BNA,PIT
1368,1,CLE,PVD
5523,1,SEA,SMF
2843,1,SLC,SNA
2882,1,OMA,STL
1938,1,MEM,MCO
844,1,ONT,MSP
4757,1,SJC,ONT
1770,1,SWF,ORD
2780,1,HSV,DFW
6000,1,MSP,EWR
6826,1,EWR,LAX
167,1,SRQ,CLE
810,1,MCO,ORF
564,1,MKE,MCO
833,1,PSP,SLC
196,1,SRQ,IND
260,1,IAH,ABI
196,1,CVG,BTR
136,1,LAS,ANC
137,1,ATL,BGR
3,1,LGA,MLB
26,1,BIL,ORD
209,1,CAE,DTW
105,1,LIT,DTW
51,1,SLC,RKS
1384,1,BOS,SLC
7330,1,MDW,STL
2069,1,MCI,MCO
2483,1,GRR,MSP
979,1,DCA,MSY
1549,1,DTW,GSO
1892,1,CMH,IAH
6186,1,STL,ATL
2905,1,PBI,CLT
214,1,MIA,CMH
44,1,HOU,PVD
12,1,MIB,MSP
427,1,TUL,LAS
943,1,CVG,AZO
1534,1,CLT,CVG
1269,1,CLE,GRR
1054,1,EWR,ALB
936,1,GSP,EWR
217,1,FNT,TPA
1053,1,DSM,CVG
22,1,LAS,CAK
32,1,LAS,MSN
92,1,SAV,BOS
1,1,AUS,GPT
22,1,MSP,PWM
207,1,DTW,AVP
1,1,SDF,SLC
6654,1,STL,PHX
1060,1,MIA,PIT
171,1,DCA,PWM
3217,1,SFO,RNO
783,1,CLT,ROC
910,1,LGA,ROC
991,1,CLE,RSW
3511,1,ORD,MKE
2123,1,BHM,DFW
4468,1,CLT,DTW
7228,1,BOS,JFK
433,1,PHL,JFK
1727,1,PIT,LAS
509,1,IAD,AUS
4478,1,PHX,AUS
18,1,CAE,CHS
1417,1,PDX,CVG
1200,1,RDU,TPA
597,1,IAH,GRR
274,1,LGA,LEX
27,1,CLE,HOU
147,1,MSY,MDW
30,1,RIC,TPA
417,1,GPT,DFW
101,1,MEM,SLC
80,1,SAT,IAD
236,1,IPL,YUM
327,1,DEN,HOU
104,1,MSP,SGF
2047,1,DCA,PVD
1915,1,ABQ,SAN
797,1,DTW,TYS
6176,1,DFW,MCO
1808,1,DCA,MEM
2000,1,DFW,MFE
1614,1,BIL,MSP
658,1,DAY,MSP
2871,1,MCO,MSP
690,1,FWA,DTW
846,1,ATL,ELP
16385,1,ORD,EWR
1745,1,ORF,EWR
193,1,PHL,GSP
1037,1,RSW,IAH
1867,1,DEN,ICT
1466,1,DFW,JFK
1819,1,SLC,JFK
572,1,WRG,KTN
996,1,PVD,BNA
2393,1,TPA,BNA
69,1,FLL,CMH
18,1,FLL,MIA
551,1,EWR,HNL
173,1,DFW,HDN
180,1,SNA,JFK
415,1,BPT,DFW
2298,1,ORD,EVV
428,1,PHX,DSM
855,1,ATL,LYH
11,1,EWR,HDN
2199,1,IAH,CVG
7,1,SRQ,MSP
95,1,HKY,ATL
196,1,IAD,MCI
100,1,TEX,PHX
104,1,DSM,SLC
174,1,ABQ,ONT
412,1,EVV,DTW
208,1,RDU,IND
89,1,MEM,RIC
69,1,OMA,CLE
42,1,AUS,PHL
3236,1,LAX,RNO
2584,1,MRY,SFO
2317,1,DEN,TUL
2280,1,DCA,MCO
153,1,MGM,MLU
400,1,IND,MSY
383,1,ITH,ELM
7662,1,LAX,HNL
6303,1,AUS,HOU
4483,1,BWI,BDL
1712,1,PIT,BDL
1790,1,PHX,BNA
2065,1,CVG,BWI
36,1,CHS,CAE
703,1,ROA,CLT
1053,1,STL,DAY
3648,1,OMA,DEN
6241,1,IAH,PHX
171,1,IAH,EGE
1272,1,CLE,MHT
181,1,JFK,SNA
911,1,MSO,DEN
323,1,LEX,EWR
51,1,HNL,ONT
285,1,MKE,PHL
301,1,OAK,HOU
100,1,KOA,PHX
111,1,SLC,YKM
35,1,OGG,DEN
30,1,TUS,ELP
9,1,MCI,FLL
1,1,PFN,VPS
1,1,SAV,HTS
1,1,CHS,SHV
2233,1,MSP,SAN
8753,1,DAL,SAT
1023,1,BTR,MEM
1644,1,ABE,ORD
1641,1,COS,ORD
2788,1,MSN,DTW
9508,1,MSY,HOU
1406,1,TPA,JAX
4652,1,LAS,JFK
2906,1,LEX,ATL
9,1,PBI,CMH
2236,1,CLE,DEN
712,1,IAD,MDT
438,1,SMF,IAD
1903,1,AVL,ATL
674,1,IAD,ALB
364,1,IAD,DAY
1496,1,SLC,GJT
1174,1,EWR,SYR
79,1,GTR,DFW
468,1,DTW,OMA
118,1,OGG,SLC
289,1,BGR,EWR
37,1,EWR,BTR
111,1,OKC,SAN
56,1,IAD,SPI
210,1,TUL,DTW
1,1,OMA,CID
24,1,XNA,RDU
34,1,JAX,LAS
1,1,CLT,OAJ
15254,1,PHL,ORD
1289,1,CVG,ORF
1034,1,BTV,PHL
3027,1,LAN,DTW
819,1,SBN,DTW
2385,1,IND,IAH
4291,1,PHL,LAX
8071,1,MEM,ATL
833,1,LAS,FLL
1235,1,OAK,IAD
1773,1,JFK,RSW
1319,1,IAD,CHS
670,1,ALB,IAD
1847,1,ONT,LAX
921,1,DAY,EWR
824,1,IAH,BPT
160,1,ATL,LWB
313,1,AVL,IAH
205,1,SLC,HDN
374,1,IAH,BFL
128,1,FNT,LAS
129,1,BTR,DCA
755,1,SBA,PHX
351,1,LAX,BOI
92,1,BOS,SAV
60,1,CHS,MCO
41,1,OMA,TUS
1,1,JFK,SAT
1,1,SAT,PIA
773,1,PIT,RIC
11159,1,LAX,SEA
1015,1,CLE,SFO
2000,1,MIA,SFO
1825,1,JFK,SLC
2864,1,DCA,STL
1865,1,MEM,LGA
1177,1,MIA,MEM
1253,1,ELP,ORD
5662,1,HPN,ORD
2112,1,PBI,DFW
3834,1,PIT,DFW
5486,1,DFW,ELP
799,1,MSY,JFK
1512,1,LAS,AUS
1528,1,ORD,BTV
1551,1,IND,CLE
1450,1,MCO,ALB
494,1,STL,RIC
823,1,PVD,PHX
1091,1,IAH,OAK
1276,1,SYR,JFK
230,1,BNA,PBI
572,1,MDW,ABQ
177,1,EWR,ACK
585,1,HNL,PHX
526,1,SGF,CVG
83,1,COS,MCI
6,1,CLT,XNA
3415,1,SJC,RNO
616,1,FSD,STL
3405,1,DEN,OMA
2882,1,STL,OMA
2529,1,MCO,IND
1011,1,CVG,ABQ
14077,1,ORD,ATL
4029,1,SDF,ATL
9414,1,ORD,CLE
8638,1,ATL,CLT
23,1,ABQ,COS
738,1,ABE,CVG
10479,1,LAX,DEN
307,1,ANC,PHX
662,1,DTW,PWM
421,1,PHX,BDL
133,1,ITO,KOA
2985,1,GRB,ORD
1783,1,DEN,GJT
458,1,EWR,OKC
818,1,SFO,MDW
97,1,HSV,TPA
97,1,MKE,SLC
517,1,CMH,JFK
311,1,IAD,MYR
465,1,PHX,GJT
27,1,OGG,LAS
210,1,BGM,DTW
70,1,MSP,ORF
71,1,MHT,PHX
126,1,GRB,MKE
9,1,BDL,MEM
31,1,LGB,SFO
1,1,PHX,CDC
1,1,RDM,SEA
1,1,BIL,LAS
1254,1,RDU,PIT
1316,1,SYR,PIT
4572,1,IAH,SFO
1208,1,BHM,TPA
1765,1,MEM,MCI
3082,1,BNA,MCO
1141,1,BHM,MDW
2291,1,CLT,MEM
1710,1,MSP,MOT
1150,1,ABQ,MSP
164,1,HPN,MSP
1276,1,PSP,DFW
1077,1,MSP,DSM
3294,1,LAS,DTW
182,1,SJU,DTW
1545,1,CVG,ALB
5587,1,ORD,BUF
792,1,LIT,CVG
2385,1,CLT,DEN
2,1,IAD,BWI
521,1,RDU,AUS
2982,1,BUF,BWI
1155,1,BWI,JFK
227,1,OAK,HNL
83,1,MEM,IAD
1559,1,ATL,TRI
2349,1,ATL,FNT
642,1,DEN,SBA
823,1,CLE,HPN
277,1,RIC,MIA
115,1,MLB,JFK
375,1,DEN,CAK
19,1,CLT,PHF
347,1,MRY,PHX
180,1,MFE,ATL
140,1,LIH,PHX
315,1,MOB,MEM
7,1,FAT,SGF
1,1,SMF,RNO
4955,1,PHL,TPA
1731,1,BDL,MSP
2350,1,SEA,ONT
14240,1,ATL,ORD
1765,1,ROC,PHL
956,1,FAT,DFW
3636,1,SJU,EWR
648,1,ATL,HNL
2606,1,PHX,JFK
3297,1,DTW,LAS
532,1,ROC,BOS
1832,1,RSW,BOS
2149,1,PHL,CMH
554,1,LIT,PHX
1203,1,GPT,MEM
39,1,GUC,ATL
55,1,HNL,DTW
2967,1,DFW,ABI
1617,1,LIT,IAH
675,1,IAH,DAY
166,1,JFK,SRQ
103,1,GRR,DCA
2,1,FAT,TWF
22,1,CLE,CHS
18,1,FNT,MKG
1,1,RDU,GRB
5414,1,SLC,SEA
2151,1,SEA,STL
2060,1,BNA,LGA
2134,1,ISP,MCO
1654,1,BWI,PHL
